Module                  | Self CPU total | CPU total | Self CUDA total | CUDA total | Self CPU Mem | CPU Mem | Self CUDA Mem | CUDA Mem  | Number of Calls
------------------------|----------------|-----------|-----------------|------------|--------------|---------|---------------|-----------|----------------
DistributedDataParallel |                |           |                 |            |              |         |               |           |                
└── module              |                |           |                 |            |              |         |               |           |                
 ├── conv1              | 204.209us      | 735.291us | 16.040ms        | 64.091ms   | 0 b          | 0 b     | 1.53 Gb       | 6.13 Gb   | 1              
 ├── bn1                | 176.672us      | 457.433us | 11.009ms        | 32.917ms   | 0 b          | 0 b     | 1.53 Gb       | 7.66 Gb   | 1              
 ├── relu               | 63.505us       | 126.908us | 6.144ms         | 18.394ms   | 0 b          | 0 b     | 0 b           | 0 b       | 1              
 ├── maxpool            | 85.526us       | 180.649us | 7.714ms         | 15.418ms   | 0 b          | 0 b     | 1.15 Gb       | 3.45 Gb   | 1              
 ├── layer1             |                |           |                 |            |              |         |               |           |                
 │├── 0                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 222.621us      | 822.000us | 9.575ms         | 38.242ms   | 0 b          | 0 b     | 392.00 Mb     | 2.08 Gb   | 1              
 ││├── bn1              | 181.969us      | 472.615us | 2.832ms         | 8.382ms    | 0 b          | 0 b     | 392.00 Mb     | 1.91 Gb   | 1              
 ││├── relu             | 116.806us      | 233.335us | 3.131ms         | 9.323ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 188.022us      | 691.701us | 9.490ms         | 37.908ms   | 0 b          | 0 b     | 392.00 Mb     | 2.08 Gb   | 1              
 ││└── bn2              | 162.930us      | 427.521us | 2.821ms         | 8.365ms    | 0 b          | 0 b     | 392.00 Mb     | 1.91 Gb   | 1              
 │├── 1                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 182.197us      | 666.726us | 9.500ms         | 37.950ms   | 0 b          | 0 b     | 392.00 Mb     | 2.08 Gb   | 1              
 ││├── bn1              | 166.985us      | 428.882us | 2.815ms         | 8.334ms    | 0 b          | 0 b     | 392.00 Mb     | 1.91 Gb   | 1              
 ││├── relu             | 107.168us      | 213.702us | 3.126ms         | 9.315ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 191.630us      | 703.603us | 9.491ms         | 37.914ms   | 0 b          | 0 b     | 392.00 Mb     | 2.08 Gb   | 1              
 ││└── bn2              | 154.442us      | 405.560us | 2.803ms         | 8.322ms    | 0 b          | 0 b     | 392.00 Mb     | 1.91 Gb   | 1              
 ├── layer2             |                |           |                 |            |              |         |               |           |                
 │├── 0                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 184.301us      | 677.602us | 15.308ms        | 61.182ms   | 0 b          | 0 b     | 196.00 Mb     | 1.60 Gb   | 1              
 ││├── bn1              | 167.110us      | 438.865us | 1.467ms         | 4.301ms    | 0 b          | 0 b     | 196.00 Mb     | 980.00 Mb | 1              
 ││├── relu             | 117.592us      | 229.852us | 1.602ms         | 4.743ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 173.834us      | 636.741us | 6.766ms         | 27.015ms   | 0 b          | 0 b     | 196.00 Mb     | 1.36 Gb   | 1              
 ││├── bn2              | 156.235us      | 415.093us | 1.471ms         | 4.322ms    | 0 b          | 0 b     | 196.00 Mb     | 980.00 Mb | 1              
 ││├── downsample       |                |           |                 |            |              |         |               |           |                
 │││├── 0               | 132.737us      | 476.694us | 1.132ms         | 4.480ms    | 0 b          | 0 b     | 196.00 Mb     | 784.00 Mb | 1              
 │││└── 1               | 149.558us      | 395.411us | 1.458ms         | 4.284ms    | 0 b          | 0 b     | 196.00 Mb     | 980.00 Mb | 1              
 │├── 1                 |                |           |                 |            |              |         |               |           |                
