Module                  | Self CPU total | CPU total | Self CUDA total | CUDA total | Self CPU Mem | CPU Mem | Self CUDA Mem | CUDA Mem  | Number of Calls
------------------------|----------------|-----------|-----------------|------------|--------------|---------|---------------|-----------|----------------
DistributedDataParallel |                |           |                 |            |              |         |               |           |                
└── module              |                |           |                 |            |              |         |               |           |                
 ├── conv1              | 211.995us      | 767.146us | 6.071ms         | 24.211ms   | 0 b          | 0 b     | 594.12 Mb     | 2.32 Gb   | 1              
 ├── bn1                | 185.481us      | 482.184us | 4.322ms         | 12.857ms   | 0 b          | 0 b     | 594.13 Mb     | 2.90 Gb   | 1              
 ├── relu               | 70.057us       | 148.404us | 2.365ms         | 7.058ms    | 0 b          | 0 b     | 0 b           | 0 b       | 1              
 ├── maxpool            | 83.322us       | 174.936us | 2.904ms         | 5.799ms    | 0 b          | 0 b     | 446.53 Mb     | 1.31 Gb   | 1              
 ├── layer1             |                |           |                 |            |              |         |               |           |                
 │├── 0                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 244.288us      | 919.334us | 4.144ms         | 16.527ms   | 0 b          | 0 b     | 148.53 Mb     | 818.12 Mb | 1              
 ││├── bn1              | 146.559us      | 387.475us | 1.155ms         | 3.377ms    | 0 b          | 0 b     | 148.53 Mb     | 742.66 Mb | 1              
 ││├── relu             | 102.590us      | 203.255us | 1.224ms         | 3.614ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 182.208us      | 671.500us | 4.112ms         | 16.401ms   | 0 b          | 0 b     | 148.53 Mb     | 818.12 Mb | 1              
 ││└── bn2              | 149.976us      | 396.187us | 1.156ms         | 3.380ms    | 0 b          | 0 b     | 148.53 Mb     | 742.66 Mb | 1              
 │├── 1                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 182.455us      | 672.794us | 4.022ms         | 16.040ms   | 0 b          | 0 b     | 148.53 Mb     | 818.12 Mb | 1              
 ││├── bn1              | 146.187us      | 384.031us | 1.160ms         | 3.390ms    | 0 b          | 0 b     | 148.53 Mb     | 742.66 Mb | 1              
 ││├── relu             | 103.574us      | 205.187us | 1.225ms         | 3.615ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 191.036us      | 707.708us | 3.956ms         | 15.775ms   | 0 b          | 0 b     | 148.53 Mb     | 817.30 Mb | 1              
 ││└── bn2              | 147.334us      | 385.543us | 1.156ms         | 3.378ms    | 0 b          | 0 b     | 148.53 Mb     | 742.66 Mb | 1              
 ├── layer2             |                |           |                 |            |              |         |               |           |                
 │├── 0                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 203.452us      | 757.263us | 6.927ms         | 27.662ms   | 0 b          | 0 b     | 74.27 Mb      | 640.30 Mb | 1              
 ││├── bn1              | 145.594us      | 383.701us | 621.152us       | 1.776ms    | 0 b          | 0 b     | 74.27 Mb      | 371.33 Mb | 1              
 ││├── relu             | 107.953us      | 214.492us | 644.032us       | 1.874ms    | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 149.355us      | 539.076us | 3.088ms         | 12.301ms   | 0 b          | 0 b     | 74.27 Mb      | 571.21 Mb | 1              
 ││├── bn2              | 144.582us      | 379.654us | 620.480us       | 1.774ms    | 0 b          | 0 b     | 74.27 Mb      | 371.33 Mb | 1              
 ││├── downsample       |                |           |                 |            |              |         |               |           |                
 │││├── 0               | 126.810us      | 452.958us | 526.656us       | 2.060ms    | 0 b          | 0 b     | 74.27 Mb      | 297.07 Mb | 1              
 │││└── 1               | 149.523us      | 401.851us | 630.592us       | 1.804ms    | 0 b          | 0 b     | 74.27 Mb      | 371.33 Mb | 1              
 │├── 1                 |                |           |                 |            |              |         |               |           |                
